sample_,class,dilution,order,batch,id
20210427_027,healthy,1.0,238,7,20210427_027
20210427_029,cancer,1.0,239,7,20210427_029
20210427_031,cancer,1.0,240,7,20210427_031
20210427_033,benign,1.0,241,7,20210427_033
20210427_035,QC,1.0,242,7,20210427_035
20210427_037,healthy,1.0,243,7,20210427_037
20210427_039,benign,1.0,244,7,20210427_039
20210427_041,healthy,1.0,245,7,20210427_041
20210427_043,post-surgery,1.0,246,7,20210427_043
20210427_045,benign,1.0,247,7,20210427_045
20210427_047,QC,1.0,248,7,20210427_047
20210427_049,post-surgery,1.0,249,7,20210427_049
20210427_051,healthy,1.0,250,7,20210427_051
20210427_053,healthy,1.0,251,7,20210427_053
20210427_055,healthy,1.0,252,7,20210427_055
20210427_057,healthy,1.0,253,7,20210427_057
20210427_059,QC,1.0,254,7,20210427_059
20210427_061,cancer,1.0,255,7,20210427_061
20210427_063,cancer,1.0,256,7,20210427_063
20210427_065,cancer,1.0,257,7,20210427_065
20210427_067,cancer,1.0,258,7,20210427_067
20210427_069,SRM,1.0,259,7,20210427_069
20210427_071,QC,1.0,260,7,20210427_071
20210427_073,QC,1.0,261,7,20210427_073
20210427_075,process blank,1.0,262,7,20210427_075
20210427_077,solvent,1.0,263,7,20210427_077
20210428_003,solvent,1.0,265,8,20210428_003
20210428_005,process blank,1.0,266,8,20210428_005
20210428_019,QC,1.0,273,8,20210428_019
20210428_021,QC,1.0,274,8,20210428_021
20210428_023,QC,1.0,275,8,20210428_023
20210428_025,healthy,1.0,276,8,20210428_025
20210428_027,healthy,1.0,277,8,20210428_027
20210428_029,cancer,1.0,278,8,20210428_029
20210428_031,cancer,1.0,279,8,20210428_031
20210428_033,healthy,1.0,280,8,20210428_033
20210428_035,QC,1.0,281,8,20210428_035
20210428_037,healthy,1.0,282,8,20210428_037
20210428_039,benign,1.0,283,8,20210428_039
20210428_041,cancer,1.0,284,8,20210428_041
20210428_043,cancer,1.0,285,8,20210428_043
20210428_045,benign,1.0,286,8,20210428_045
20210428_047,QC,1.0,287,8,20210428_047
20210428_049,cancer,1.0,288,8,20210428_049
20210428_051,healthy,1.0,289,8,20210428_051
20210428_053,healthy,1.0,290,8,20210428_053
20210428_055,benign,1.0,291,8,20210428_055
20210428_057,post-surgery,1.0,292,8,20210428_057
20210428_059,QC,1.0,293,8,20210428_059
20210428_061,post-surgery,1.0,294,8,20210428_061
20210428_063,cancer,1.0,295,8,20210428_063
20210428_065,healthy,1.0,296,8,20210428_065
20210428_067,cancer,1.0,297,8,20210428_067
20210428_069,SRM,1.0,298,8,20210428_069
20210428_071,QC,1.0,299,8,20210428_071
20210428_073,QC,1.0,300,8,20210428_073
20210428_075,process blank,1.0,301,8,20210428_075
20210428_077,solvent,1.0,302,8,20210428_077
20210503_003,solvent,1.0,304,9,20210503_003
20210503_005,process blank,1.0,305,9,20210503_005
20210503_019,QC,1.0,312,9,20210503_019
20210503_021,QC,1.0,313,9,20210503_021
20210503_023,QC,1.0,314,9,20210503_023
20210503_025,post-surgery,1.0,315,9,20210503_025
20210503_027,cancer,1.0,316,9,20210503_027
