,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-1303,,181.99084246651356,181.99585153096984,181.98602507409797,0.0010257089245839985,60.13665707739975,72.46725851900005,62.66661934507977,56.577441959334536,53.55943789307663,1.240694043503661
FT-1375,,179.05621712025027,179.06070311945513,179.05291017075996,0.0009901973589929783,68.88895355993549,82.92821344820068,71.8702628769801,66.02940386625521,59.38088727807816,0.9929275464944858
FT-1378,,194.04491094138177,194.04980946212012,194.04047390463862,0.001109700595637306,70.02475765057336,81.01951400438945,72.10729463390821,67.06504930264755,61.92221802142389,0.8378573472886205
FT-1383,,101.06015822762002,101.06323697422042,101.05756896880231,0.0008037334708118354,70.93580414002662,77.08528189983359,72.19258523987766,68.2108045876541,64.79172566562214,0.8885618806809609
FT-1384,FT-1478,247.11760955785073,247.12138960154837,247.1132758766817,0.001234169952685171,71.0594460835381,87.94764826074298,72.1910711572609,68.70202103005025,60.49214898608954,0.748489373353232
FT-1385,,129.0550509590509,129.0586842407974,129.05146972070295,0.0008858134703213548,69.04558065975932,74.18322639084916,70.64611999827983,67.49566414888851,61.94832582972538,0.593602157110296
FT-1402,,403.0586531191648,403.06696412849675,403.05154396858654,0.0022977338696665594,71.52939700524145,77.71273247793064,72.18828087401079,70.49013713738687,66.27975272041014,0.33458582787362107
FT-1409,FT-1463,383.14478823292893,383.15142659734755,383.13869389472006,0.002120575360444389,71.60063278860241,78.1250967749653,72.18767062384055,70.54857412353309,66.0781718449453,0.3727257065651207
FT-1416,FT-1486,330.95136587915226,330.9576587684599,330.9446973258678,0.001800999366429825,71.52026240096072,79.13487370473759,72.19092490861499,69.8414616030038,65.3535748605291,0.44572000422067176
FT-1419,FT-1475,83.04956285288853,83.05324854338178,83.0457285870622,0.0008858244655934723,71.66586191734484,82.59913192749072,72.19282074932644,69.92497493135308,65.10227265357983,0.3865358374970043
FT-1442,,497.06728199719606,497.07448855613023,497.0595497369481,0.002658334499296037,71.62072692779002,77.5455874255612,72.19507915368854,70.83187696865674,66.48994244061863,0.3248988352717434
FT-1444,FT-1468,429.15321872921476,429.15936373292055,429.14461972061713,0.002237090869100773,71.63493086659302,77.54856379457489,72.19386388355788,70.86984207123344,66.53021359628558,0.32573147358349436
FT-1446,FT-1473,407.1711890855142,407.1782436023494,407.16328276216404,0.0022747869140323086,71.66446453411316,76.78397829224858,72.19264319591599,70.91049087351477,66.97550741280189,0.30511075782522
FT-1447,,522.1146407861111,522.1243194959903,522.1055661725525,0.0029218159762872146,71.75387922785502,76.86548987213837,72.17587420941648,71.0959374144452,67.07667988174164,0.26312210281681525
FT-1448,FT-1469,521.111406048303,521.1202602805896,521.1018382230856,0.0026254546208759203,71.75167613687015,77.76113601831428,72.19389537611816,71.12072849143654,66.59112757378792,0.2635151640915937
FT-1451,,142.0655163374867,142.06939185094222,142.0621441258632,0.000863570086601329,72.99839824203445,84.26394143411952,74.8419838615329,72.19534781270363,66.48796719408654,0.5697238268190574
FT-1452,FT-1424,145.05030656805621,145.05566908072245,145.04645283022154,0.0012898992144662203,72.72157079253431,92.94975752011172,74.05823274729026,72.19547163732734,65.3228360787028,0.4381855504021855
FT-1458,FT-1430,204.08470490036817,204.08830524575197,204.08033313449738,0.0011902737010788071,72.92737980231347,82.55835449615934,74.55528081293295,72.19572958223065,66.20663369045188,0.5361230775670524
FT-1462,FT-1412,367.08762885854367,367.093096791556,367.08177595327,0.002067498881611392,72.83488155447868,80.88594309308148,74.32046300073934,72.19637210478079,66.88085724007023,0.4554182609556006
FT-1466,,181.04972008073338,181.05297375600435,181.0450363026653,0.0010319348982082731,73.81465146393772,84.50340769823282,76.2184072729102,72.19667618669088,66.10438988046612,0.8758507286597785
FT-1474,FT-1417,116.04975077036624,116.05298955516645,116.0461139011612,0.0007909144934170273,72.93860667996104,82.40908423971392,74.86800847766038,72.19763279906017,66.84117238960377,0.5294898549854216
FT-1477,FT-1391,286.08777175008936,286.0924347234195,286.08268045520646,0.0014791121157194426,73.02828779821337,82.74369612816662,74.99439140446896,72.19787311592091,66.5985210672471,0.5770567679540648
FT-1480,FT-1415,352.99845313666214,353.0055023338915,352.9922341291993,0.0016468411427964672,73.20280303124386,84.7231173218011,76.24663562314345,72.19813079589467,66.35221904055186,0.8650967329898217
FT-1481,FT-1438,205.08709584528108,205.09085434562084,205.08316282213985,0.001198739752098528,72.83488262432338,79.85395778730155,74.34439633769378,72.19868061803193,67.48065654514,0.48431193326054056
FT-1490,,285.08450466190493,285.08909307283966,285.0789595943939,0.0014198803660237676,73.16504824989494,89.88467570189825,75.06438063419407,72.20167273850505,65.45251663569462,0.6481386117962351
