,Charge,Chromatographic peak width (min),Highest Mean,Identifications,Isotope Distribution,Lowest Mean,Max Fold Change,Maximum Abundance,Minimum CV%,Neutral mass (Da),mz,rt
11.77_724.2288m/z,1,0.231316666666666,postcirugia,0,100 - 42.9,zero,inf,12.2840509001303,136.63,,724.228827143282,706.2019999999981
11.77_726.2369m/z,1,0.236783333333333,postcirugia,0,100 - 42.6 - 9.04,solvent,inf,35.5869877855625,104.15,,726.236864211033,706.2019999999981
11.79_421.9618m/z,1,0.101483333333332,zero,0,100,calibration,inf,53.5455884135161,200.0,,421.961833398268,707.217
11.79_544.3032n,1,0.135299999999999,solvent,0,100 - 32.1 - 4.07,ltrs,inf,63.9574978145946,150.18,544.30315034357,543.295413273548,707.217
11.80_462.9346m/z,1,0.704883333333333,sss,0,100 - 9.38,calibration,inf,999.493752369068,5.99,,462.93462182743,708.232000000002
11.80_464.9319m/z,2,0.304433333333332,sss,0,100 - 1.72,calibration,inf,286.365695193038,26.4,,464.931942966206,708.232000000002
11.82_965.5182m/z,1,1.64106666666667,prostatitis,0,100 - 43.1,ltrs,inf,204.625441450457,132.65,,965.518180730228,709.2469999999979
11.84_447.3106m/z,1,0.315866666666667,0,0,100 - 19.6 - 45.5,process blank,inf,65.7947549938581,25.19,,447.310570969545,710.260999999998
11.84_465.3551m/z,1,0.152216666666666,0,0,100 - 24.8 - 32,solvent,inf,231.211515544719,8.83,,465.355148888446,710.260999999998
11.85_275.1647m/z,1,0.202966666666667,zero,0,100 - 20.2,calibration,inf,63.3649326181693,200.0,,275.164682445862,711.276
11.85_522.3573m/z,3,0.253683333333333,sss,0,100 - 6.11,2,inf,58.7410858669333,70.63,,522.357266293909,711.276
11.85_555.4205m/z,1,0.101483333333332,prostatitis,0,100 - 22.8,zero,inf,6.9426628117799,140.5,,555.420544417735,711.276
11.85_596.3920m/z,1,0.2537,prostatitis,0,100 - 23.5,solvent,inf,60.268110734723,85.09,,596.391986002588,711.276
11.85_655.3120m/z,1,0.169133333333333,prostatitis,0,100,zero,inf,3.03617725551738,172.36,,655.312016464886,711.276
11.85_904.5516m/z,1,2.6449,0,0,100 - 27.7 - 11.2,2,inf,717.292145336288,105.09,,904.551614071828,711.276
11.87_435.3101m/z,1,0.603399999999999,0,0,100 - 15.3,solvent,inf,77.0698868280371,33.43,,435.310099437976,712.291000000002
11.87_655.3868m/z,1,0.484999999999999,0,0,100 - 28.9 - 3.6,ltrs,inf,70.5315911757322,51.36,,655.386822380594,712.291000000002
11.87_687.4108m/z,1,0.219883333333334,zero,0,100 - 56.1,2,inf,154.470868915339,53.44,,687.410769263427,712.291000000002
11.89_180.1947n,1,1.24061666666667,zero,0,100 - 4.51,ltrs,14.437878771437,1150.96886165727,7.56,180.194686000556,239.200636796156,713.305999999998
11.89_457.3520m/z,3,0.186050000000002,0,0,100 - 1.28,2,inf,33.5306017575427,13.58,,457.352037006163,713.305999999998
11.89_458.3556m/z,1,0.118383333333334,prostatitis,0,100,zero,inf,1.50103574995493,132.13,,458.355580805543,713.305999999998
11.91_517.3889m/z,1,0.80635,prostatitis,0,100 - 30 - 5.25 - 1.78 - 0.793,16,inf,708.124306817366,9.45,,517.38889106354,714.321
11.91_617.3143m/z,1,0.287516666666667,cQC,0,100 - 39.7,zero,inf,52.1251487280385,27.46,,617.314273311043,714.321
11.94_277.2161m/z,1,0.597933333333334,postcirugia,0,100 - 16.4 - 0.708,16,314103.043641523,1004.88064459125,8.78,,277.216109070602,716.3500000000021
11.94_439.1751m/z,1,0.152216666666668,sss,0,100 - 3.88,calibration,inf,17.1763269436765,127.32,,439.175068783419,716.3500000000021
11.96_299.2583m/z,1,0.383516666666667,zero,0,100 - 17.1 - 0.892,ltrs,11.474373772622,1111.35335817008,1.59,,299.258301437991,717.364999999998
11.96_441.3573m/z,1,0.152216666666668,0,0,100 - 14.8 - 0.217,solvent,inf,18.1894314355732,5.6,,441.357348934594,717.364999999998
11.96_487.3406m/z,1,0.501933333333334,prostatitis,0,100 - 18.3,solvent,inf,40.4045973210233,73.66,,487.340604197329,717.364999999998
11.96_594.4129m/z,1,0.219866666666666,postcirugia,0,100 - 28,zero,inf,44.003048062416,103.16,,594.412927111118,717.364999999998
